employeeId,amount,payPeriod
EMP009,19876,2025-9
EMP016,8721,2026-6
EMP004,41971,2025-9
EMP017,27374,2026-5
EMP023,33023,2026-6
EMP014,39041,2026-6
EMP003,62929,2025-7
EMP002,53291,2026-5
EMP008,44293,2025-10
EMP015,6345,2026-2
EMP004,27927,2026-5
EMP012,58046,2025-7
EMP001,10991,2026-3
EMP023,52236,2025-12
EMP012,13183,2025-11
EMP008,75236,2025-9
EMP011,55686,2026-5
EMP011,52857,2025-8
EMP011,5975,2026-2
EMP015,64115,2025-7
EMP008,5429,2026-1
EMP022,20402,2026-4
EMP012,70603,2026-1
EMP006,23562,2026-3
EMP016,77952,2026-4
EMP001,69184,2025-12
EMP008,6259,2026-3
EMP015,74907,2026-1
EMP007,17642,2025-7
EMP007,73189,2025-11
EMP004,44263,2026-2
EMP002,67212,2025-8
EMP002,14847,2026-4
EMP024,62906,2025-11
EMP017,15011,2025-10
EMP018,42206,2026-1
EMP007,9151,2026-2
EMP001,13313,2025-9
EMP014,51909,2026-1
EMP021,35113,2025-7
EMP006,47790,2025-12
EMP008,72810,2026-5
EMP016,51364,2025-12
EMP022,43097,2026-6
EMP012,53464,2026-3
EMP002,47216,2025-9
EMP002,65588,2026-4
EMP014,38674,2026-5
EMP005,43237,2026-6
EMP001,64294,2025-12
EMP011,42011,2025-10
EMP013,77648,2026-6
EMP025,48722,2025-9
EMP012,5250,2026-3
EMP014,40101,2026-5
EMP014,24967,2026-2
EMP024,19512,2026-4
EMP019,20752,2026-5
EMP014,77693,2025-11
EMP004,69742,2025-11
EMP012,52907,2025-8
EMP015,24819,2025-12
EMP003,51373,2026-5
EMP001,24833,2025-12
EMP016,77269,2026-3
EMP025,43085,2025-7
EMP023,25827,2026-5
EMP015,18934,2026-6
EMP006,66426,2025-7
EMP023,7422,2026-5
EMP010,28649,2026-2
EMP017,77124,2026-2
EMP007,21169,2025-9
EMP007,59101,2026-4
EMP002,42924,2025-11
EMP017,22382,2025-11
EMP001,8508,2025-7
EMP002,17263,2025-10
EMP005,76380,2025-8
EMP022,14046,2026-6
EMP004,46263,2026-4
EMP025,50758,2026-3
EMP016,29287,2025-9
EMP015,60011,2026-4
EMP008,73743,2025-7
EMP009,73601,2025-12
EMP008,18387,2025-11
EMP021,75154,2026-6
EMP007,33984,2025-8
EMP021,59120,2026-3
EMP018,65144,2026-2
EMP018,39350,2026-1
EMP017,21601,2025-7
EMP002,30005,2026-5
EMP009,38079,2026-6
EMP024,45743,2026-5
EMP011,20915,2025-7
EMP015,33298,2025-10
EMP018,24023,2026-5
EMP013,11701,2025-8
EMP024,49739,2025-12
EMP012,56346,2026-6
EMP019,71092,2025-7
EMP021,32249,2025-9
EMP022,75251,2026-1
EMP002,65375,2025-9
EMP017,10928,2026-1
EMP019,24823,2025-9
EMP005,62077,2025-9
EMP010,57530,2026-6
EMP024,30062,2025-12
EMP013,46908,2025-9
EMP016,26187,2025-10
EMP021,55064,2026-3
EMP024,32278,2026-1
EMP001,26056,2026-2
EMP002,74133,2025-7
EMP018,49452,2026-6
EMP017,69741,2026-1
EMP007,33633,2025-12
EMP025,31442,2026-6
EMP009,65711,2026-4
EMP007,36170,2025-12
EMP004,56286,2026-3
EMP011,21144,2025-8
EMP010,11291,2026-5
EMP023,6957,2026-5
EMP025,19982,2025-12
EMP001,51210,2026-6
EMP012,58802,2026-6
EMP010,45660,2025-12
EMP011,35691,2025-8
EMP009,41526,2026-4
EMP009,66225,2025-7
EMP007,17241,2026-5
EMP007,78168,2026-1
EMP003,77055,2026-5
EMP005,55749,2026-4
EMP010,51791,2026-2
EMP016,59706,2025-10
EMP021,8857,2026-3
EMP003,12053,2026-1
EMP012,13645,2026-1
EMP016,18158,2026-4
EMP006,68965,2025-9
EMP018,7372,2025-9
EMP020,77937,2026-4
EMP014,56207,2025-12
EMP008,59652,2025-10
EMP002,71339,2026-1
EMP009,31012,2026-6
EMP005,29147,2026-1
EMP008,56789,2025-7
EMP006,33035,2026-6
EMP025,41092,2026-3
EMP021,52206,2026-6
EMP020,77503,2026-1
EMP023,67319,2025-12
EMP022,51874,2025-8
EMP007,44906,2025-9
EMP004,71823,2026-2
EMP003,16566,2026-3
EMP016,57782,2025-12
EMP001,50451,2026-5
EMP018,68097,2025-7
EMP009,26593,2026-3
EMP002,56946,2025-8
EMP010,48635,2026-4
EMP024,37948,2026-3
EMP023,47911,2025-8
EMP019,43301,2025-11
EMP015,77766,2025-10
EMP011,46313,2026-6
EMP015,51981,2025-7
EMP019,53290,2026-4
EMP006,37157,2025-8
EMP025,5578,2026-5
EMP017,70811,2025-10
EMP010,75254,2025-8
EMP016,51585,2025-11
EMP008,67799,2025-7
EMP009,24086,2025-9
EMP003,52613,2026-6
EMP005,28278,2026-2
EMP020,74556,2026-1
EMP008,24152,2026-6
EMP025,60410,2025-7
EMP014,60542,2026-1
EMP021,33536,2025-9
EMP004,74293,2026-1
EMP018,19787,2026-5
EMP008,68945,2026-3
EMP010,18849,2025-10
EMP015,77914,2025-8
EMP012,54735,2025-8
EMP018,29711,2026-5
EMP001,69348,2026-3
EMP009,39963,2026-3
EMP019,14935,2026-3
EMP022,59533,2026-6
EMP024,35414,2026-2
EMP011,69225,2026-5
EMP004,52675,2026-5
EMP002,62306,2026-4
EMP002,13232,2025-8
EMP025,46322,2025-8
EMP019,59600,2026-4
EMP005,35169,2025-12
EMP004,26619,2026-3
EMP020,31966,2025-10
EMP015,69273,2025-9
EMP010,50532,2025-11
EMP003,60187,2026-3
EMP016,8746,2025-9
EMP008,63785,2025-11
EMP011,36838,2026-6
EMP002,77073,2025-11
EMP002,33437,2026-6
EMP025,44232,2025-12
EMP008,55957,2026-5
EMP007,63612,2026-2
EMP005,56996,2025-9
EMP023,17124,2026-3
EMP011,8784,2025-10
EMP008,26718,2025-11
EMP018,39162,2026-4
EMP012,19846,2025-7
EMP008,42057,2026-6
EMP018,43335,2026-2
EMP002,77572,2025-9
EMP013,51711,2025-7
EMP020,13749,2026-2
EMP008,29743,2026-3
EMP006,14963,2026-4
EMP014,37051,2026-2
EMP011,79188,2026-4
EMP003,15450,2026-2
EMP002,5421,2026-5
EMP011,23200,2026-5
EMP007,60235,2026-3
EMP012,16358,2026-4
EMP020,52994,2025-10
EMP021,60845,2026-6
EMP021,21694,2026-5
EMP012,17644,2025-12
EMP016,32986,2026-5
EMP004,54004,2025-9
EMP007,16283,2025-10
EMP015,49151,2026-6
EMP022,31564,2025-10
EMP013,59698,2026-3
EMP008,56879,2026-4
EMP015,44656,2025-12
EMP023,47508,2025-10
EMP004,13846,2025-7
EMP007,78564,2026-4
EMP017,79927,2026-2
EMP013,49049,2025-11
EMP013,48942,2025-9
EMP017,47218,2026-6
EMP001,12288,2025-12
EMP002,44929,2025-8
EMP021,63591,2026-6
EMP015,68040,2026-6
EMP003,15742,2026-5
EMP005,23393,2026-5
EMP010,69086,2026-2
EMP010,8694,2025-11
EMP017,19704,2026-6
EMP008,71710,2025-7
EMP016,7792,2026-4
EMP001,32553,2025-9
EMP023,21409,2025-11
EMP003,71368,2026-4
EMP011,72897,2026-2
EMP001,75760,2026-2
EMP021,50869,2025-12
EMP018,57716,2025-11
EMP025,52774,2025-10
EMP009,14862,2026-6
EMP013,42686,2026-4
EMP022,51589,2025-9
EMP025,46217,2025-11
EMP023,52307,2025-12
EMP010,64174,2026-6
EMP013,77136,2025-9
EMP004,10423,2026-5
EMP001,17120,2025-9
EMP021,65573,2026-2
EMP006,40322,2026-1
EMP017,24543,2026-3
EMP018,32192,2026-1
EMP015,49467,2025-7
EMP009,40350,2026-1
EMP011,59217,2025-12
EMP017,19168,2025-8
EMP015,15977,2026-3
EMP022,56537,2026-4
EMP001,31256,2025-12
EMP005,40364,2026-4
EMP020,7938,2025-10
EMP018,22609,2025-10
EMP014,51063,2025-9
EMP016,24771,2025-12
EMP013,35732,2025-8
EMP013,22259,2026-5
EMP016,11670,2026-6
EMP001,44248,2026-2
EMP016,47681,2026-1
EMP009,57661,2026-5
EMP014,45431,2025-11
EMP010,59421,2025-11
EMP008,49485,2025-10
EMP011,61566,2026-6
EMP013,27772,2026-3
EMP020,24280,2026-4
EMP008,43257,2026-3
EMP023,60651,2025-7
EMP004,8443,2026-6
EMP010,7670,2026-4
EMP019,20268,2026-2
EMP007,28543,2025-7
EMP007,26542,2025-10
EMP015,64496,2026-6
EMP010,11785,2025-9
EMP009,43632,2025-10
EMP017,38244,2026-5
EMP009,12531,2026-3
EMP003,7884,2026-1
EMP012,13902,2026-4
EMP004,30986,2026-2
EMP010,79263,2025-12
EMP021,62987,2025-12
EMP002,79204,2025-11
EMP015,72182,2025-9
EMP014,20565,2026-3
EMP006,42082,2026-3
EMP005,75992,2026-6
EMP023,78391,2025-10
EMP018,60630,2025-11
EMP009,35366,2026-6
EMP023,58343,2025-7
EMP023,47850,2026-2
EMP006,69972,2025-7
EMP013,24527,2025-11
EMP013,23452,2025-11
EMP011,52793,2025-11
EMP004,59040,2026-2
EMP021,8272,2026-1
EMP005,60035,2025-7
EMP003,29836,2025-9
EMP019,38411,2025-9
EMP007,24535,2026-4
EMP005,14708,2025-9
EMP008,34664,2025-10
EMP023,67849,2025-12
EMP013,51668,2026-4
EMP011,19846,2026-1
EMP015,16371,2025-9
EMP001,6148,2026-4
EMP012,18774,2026-4
EMP017,23719,2026-6
EMP019,71972,2025-12
EMP021,26101,2026-1
EMP007,7067,2025-7
EMP005,26149,2025-12
EMP005,53232,2026-5
EMP002,59075,2026-5
EMP013,31260,2025-12
EMP010,44864,2025-7
EMP007,48529,2025-11
EMP008,48522,2026-2
EMP023,50362,2026-1
EMP001,57903,2025-7
EMP014,34846,2026-6
EMP010,24928,2025-12
EMP011,11529,2026-4
EMP016,35572,2025-10
EMP024,17830,2026-3
EMP011,59434,2025-9
EMP001,79337,2026-4
EMP003,60942,2026-3
EMP025,58973,2026-5
EMP023,8269,2026-6
EMP012,20871,2025-10
EMP017,27226,2025-12
EMP019,35290,2026-1
EMP006,51049,2025-11
EMP011,12362,2026-6
EMP007,49452,2026-5
EMP020,79182,2025-8
EMP018,67005,2026-4
EMP017,29053,2025-7
EMP014,66814,2026-1
EMP015,14824,2026-5
EMP007,71296,2026-3
EMP021,33884,2025-11
EMP021,77019,2025-10
EMP015,11425,2026-3
EMP004,51441,2025-10
EMP024,17521,2026-3
EMP021,24829,2026-3
EMP002,41658,2025-11
EMP019,64105,2025-7
EMP021,78441,2025-7
EMP024,40066,2025-10
EMP019,69429,2025-11
EMP002,9218,2025-8
EMP022,54445,2026-3
EMP014,6534,2025-8
EMP002,21889,2026-6
EMP013,68056,2025-12
EMP008,18021,2026-4
EMP017,56857,2026-5
EMP003,63312,2025-8
EMP024,46967,2026-3
EMP016,57398,2025-10
EMP010,25857,2025-12
EMP017,53656,2025-12
EMP004,58777,2025-7
EMP002,44322,2025-7
EMP023,52145,2025-10
EMP009,79119,2026-1
EMP006,12104,2026-6
EMP009,47601,2025-9
EMP020,64809,2026-1
EMP010,25068,2026-5
EMP014,34868,2025-12
EMP017,68648,2026-5
EMP014,38246,2025-9
EMP011,5334,2025-7
EMP016,31871,2026-4
EMP002,36918,2026-2
EMP012,74919,2026-5
EMP010,48181,2026-5
EMP004,62507,2026-4
EMP006,65481,2025-8
EMP023,78223,2025-12
EMP014,73672,2025-7
EMP004,58048,2026-2
EMP016,39127,2026-2
EMP013,39178,2026-2
EMP007,35618,2026-4
EMP017,29690,2025-9
EMP024,43188,2025-9
EMP010,32006,2026-5
EMP025,13374,2025-12
EMP014,74329,2025-11
EMP023,57986,2025-11
EMP007,77296,2026-3
EMP023,20038,2025-8
EMP001,18201,2025-9
EMP024,77218,2025-11
EMP017,31647,2026-3
EMP007,12389,2025-8
EMP009,74254,2025-10
EMP016,29235,2026-4
EMP025,40206,2025-9
EMP010,37916,2025-12
EMP016,12369,2025-8
EMP004,40996,2025-11
EMP016,79313,2025-9
EMP024,22026,2026-3
EMP023,11262,2025-8
EMP015,54663,2025-12
EMP015,68749,2026-2
EMP015,22612,2026-2
EMP017,21681,2026-2
EMP017,69578,2026-5
EMP015,72520,2026-5
EMP014,27598,2026-6
EMP011,79866,2026-4
EMP005,23903,2025-12
EMP013,38720,2025-7
EMP015,63682,2025-11
EMP008,68148,2026-2
EMP015,49380,2025-11
EMP019,20921,2025-8
EMP009,60744,2025-10
EMP023,19691,2026-5
EMP014,63636,2026-3
EMP006,46243,2025-11
EMP017,28034,2026-5
EMP001,20826,2026-3
EMP014,67406,2025-11
EMP018,78415,2025-7
EMP017,79111,2025-11
EMP008,12565,2026-1
EMP012,36087,2025-7
EMP010,19699,2026-3
EMP014,62800,2026-1
EMP023,39677,2025-7
EMP021,78823,2026-2
EMP025,6866,2025-7
EMP012,78049,2025-8
EMP014,63635,2026-4
EMP003,37289,2025-9
EMP001,25085,2026-3
EMP012,47568,2026-5
EMP017,26387,2026-4
,42192,2026-3
,19708,2025-8
,73377,2026-2
,5810,2025-7
,62246,2026-3
,27211,2026-3
,37858,2026-3
,56419,2025-8
,73577,2026-5
,70189,2025-10
EMP001,,2025-9
EMP002,,2026-1
EMP003,,2026-4
EMP004,,2026-3
EMP005,,2026-5
EMP001,-500,2025-10
EMP002,abc,2025-10
EMP003,0,2025-8
EMP004,-1000,2026-2
EMP005,NaN,2026-5
EMP001,5659,not-a-date
EMP002,41027,2025-13
EMP003,36634,2025-0
EMP004,38784,2025-06-01
EMP005,21239,2025/01/01
EMP009,66813,2025-9
EMP016,63679,2026-6
EMP004,49833,2025-9
EMP017,35129,2026-5
EMP023,55563,2026-6